tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
2,C,dayFestive,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,98
2,C,dayFestive,7,8,12,1,2026-07-26 12:00,2026-07-27 01:00,104
2,C,dayFestive,8,8,1,9,2026-07-27 01:00,2026-07-27 09:00,80
2,D,mellow,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,92
2,D,mellow,0,1,12,1,2026-07-19 12:00,2026-07-20 01:00,98
2,D,mellow,1,1,1,9,2026-07-20 01:00,2026-07-20 09:00,92
2,D,mellow,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,92
2,D,mellow,1,2,12,1,2026-07-20 12:00,2026-07-21 01:00,98
2,D,mellow,2,2,1,9,2026-07-21 01:00,2026-07-21 09:00,92
2,D,mellow,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,92
2,D,mellow,2,3,12,1,2026-07-21 12:00,2026-07-22 01:00,98
2,D,mellow,3,3,1,9,2026-07-22 01:00,2026-07-22 09:00,92
2,D,mellow,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,92
2,D,mellow,3,4,12,1,2026-07-22 12:00,2026-07-23 01:00,98
2,D,mellow,4,4,1,9,2026-07-23 01:00,2026-07-23 09:00,92
2,D,mellow,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,92
2,D,mellow,4,5,12,1,2026-07-23 12:00,2026-07-24 01:00,98
2,D,mellow,5,5,1,9,2026-07-24 01:00,2026-07-24 09:00,92
2,D,mellow,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,92
2,D,mellow,5,6,12,5,2026-07-24 12:00,2026-07-25 05:00,98
2,D,mellow,6,6,5,9,2026-07-25 05:00,2026-07-25 09:00,92
2,D,mellow,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,92
2,D,mellow,6,7,12,5,2026-07-25 12:00,2026-07-26 05:00,98
2,D,mellow,7,7,5,9,2026-07-26 05:00,2026-07-26 09:00,92
2,D,mellow,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,92
2,D,mellow,7,8,12,1,2026-07-26 12:00,2026-07-27 01:00,98
2,D,mellow,8,8,1,9,2026-07-27 01:00,2026-07-27 09:00,92
2,E,chill,0,0,9,22,2026-07-19 09:00,2026-07-19 22:00,92
2,E,chill,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,80
2,E,chill,1,1,9,22,2026-07-20 09:00,2026-07-20 22:00,92
2,E,chill,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,80
2,E,chill,2,2,9,22,2026-07-21 09:00,2026-07-21 22:00,92
2,E,chill,2,3,22,9,2026-07-21 22:00,2026-07-22 09:00,80
2,E,chill,3,3,9,22,2026-07-22 09:00,2026-07-22 22:00,92
2,E,chill,3,4,22,9,2026-07-22 22:00,2026-07-23 09:00,80
2,E,chill,4,4,9,22,2026-07-23 09:00,2026-07-23 22:00,92
2,E,chill,4,5,22,9,2026-07-23 22:00,2026-07-24 09:00,80
2,E,chill,5,5,9,22,2026-07-24 09:00,2026-07-24 22:00,92
